date,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,mid,max_inflow_price,max_inflow_volume,total_inflow_volume,max_outflow_price,max_outflow_volume,total_outflow_volume,inflow_vote,outflow_vote,flow_vote_ratio
2020-02-26,53.74,53.89,54.14,53.64,20.03,0.0,88500751,4920431539.0,-0.83,53.89,,,,,,,,,
2020-02-27,53.09,52.69,53.09,52.49,19.6,0.0,47341944,2574258299.0,-2.23,52.79,52.49,-4577700.0,0.0,52.64,-846824200.0,-1995962180.0,0,8,0.0
2020-02-28,51.64,51.44,51.69,51.29,19.15,0.0,68658071,3649883363.0,-2.37,51.49,51.59,30987400.0,38799420.0,51.39,-854173260.0,-2159484540.0,2,7,22.22
2020-03-02,50.79,51.09,51.24,50.79,19.02,0.0,45360511,2394214535.0,-0.68,51.02,51.04,-15463280.0,0.0,51.14,-548216420.0,-1269979920.0,0,9,0.0
2020-03-03,51.29,50.84,51.39,50.84,18.93,0.0,45432000,2394457651.0,-0.49,51.12,50.84,142173880.0,210974000.0,50.94,-292041300.0,-958575340.0,3,8,27.27
2020-03-04,50.04,49.64,50.24,49.09,18.5,0.0,78906347,4055211729.0,-2.36,49.67,49.29,19789700.0,47095340.0,49.99,-360996980.0,-2126064140.0,5,18,21.74
2020-03-05,49.84,50.09,50.39,49.79,18.66,0.0,53217412,2757020592.0,0.91,50.09,50.39,19364420.0,19364420.0,50.09,-195352880.0,-1054340840.0,1,11,8.33
2020-03-06,49.44,48.94,49.44,48.84,18.24,0.01,106618709,5408180172.0,-2.3,49.14,49.24,-25560920.0,0.0,48.94,-2084192880.0,-3857108380.0,0,11,0.0
2020-03-09,47.29,47.04,47.84,46.89,9.58,0.01,107572382,5273372274.0,-3.88,47.37,47.79,28824780.0,86856200.0,47.24,-389803880.0,-2660095300.0,5,14,26.32
2020-03-10,46.69,47.19,47.84,46.69,8.04,0.0,69125634,3384679298.0,0.32,47.27,47.04,133431700.0,250859120.0,47.19,-321805380.0,-1376763040.0,5,16,23.81
2020-03-11,47.49,46.94,47.49,46.89,17.53,0.0,54556159,2664332614.0,-0.53,47.19,47.49,33852500.0,33852500.0,46.94,-314393080.0,-1247406780.0,1,12,7.69
2020-03-12,46.29,44.94,46.29,44.79,16.81,0.0,93238456,4390262296.0,-4.26,45.54,45.59,115201860.0,236001800.0,44.94,-453610600.0,-2117587120.0,4,17,19.05
2020-03-13,40.29,43.99,44.39,40.29,16.47,0.01,127327773,5655697087.0,-2.11,42.34,41.44,167421200.0,919030840.0,40.29,-134500800.0,-1551412080.0,20,36,35.71
2020-03-16,42.29,42.09,43.04,41.89,15.8,0.0,91411722,4020102910.0,-4.32,42.47,42.69,42223160.0,79111740.0,42.09,-870267360.0,-1719599880.0,5,14,26.32
2020-03-17,43.29,43.24,43.79,42.14,16.22,0.0,61904936,2754086596.0,2.73,42.97,43.24,123850380.0,603491260.0,42.89,-69042800.0,-298379360.0,16,12,57.14
2020-03-18,43.49,42.84,44.79,42.44,16.07,0.0,63302201,2859069908.0,-0.93,43.62,42.84,201960300.0,806922300.0,42.54,-113605160.0,-467609180.0,28,18,60.87
2020-03-19,42.49,42.89,43.19,41.79,16.09,0.0,77249632,3422548768.0,0.12,42.49,42.89,232777500.0,615924980.0,41.99,-120968320.0,-350817680.0,11,14,44.0
2020-03-20,43.24,45.29,45.29,43.24,16.95,0.0,54043425,2480861470.0,5.6,44.27,45.29,241381640.0,838133180.0,43.69,-31135420.0,-95261580.0,21,7,75.0
2020-03-23,43.04,42.49,43.14,42.14,15.94,0.0,64238228,2839539997.0,-6.18,42.64,42.49,517914140.0,714399020.0,42.59,-173577380.0,-710447100.0,6,11,35.29
2020-03-24,43.29,43.39,43.49,42.74,16.27,0.0,35692754,1603002993.0,2.12,43.12,43.39,187026020.0,506878240.0,42.99,-18668020.0,-58756920.0,9,5,64.29
2020-03-25,44.39,44.59,44.89,43.29,16.7,0.0,46847802,2143756745.0,2.77,44.09,44.74,129781880.0,523465800.0,44.59,-86811540.0,-321364480.0,17,12,58.62
2020-03-26,44.24,43.99,44.24,43.34,16.49,0.0,29685401,1346955415.0,-1.35,43.79,43.99,71526980.0,129150220.0,43.64,-69834160.0,-254025660.0,5,9,35.71
2020-03-27,44.29,43.69,44.44,43.39,16.38,0.0,38499002,1752534588.0,-0.68,43.92,43.69,212997040.0,500685980.0,44.39,-66648560.0,-353862000.0,9,11,45.0
2020-03-30,43.09,42.79,43.44,42.39,16.05,0.0,51712032,2306110119.0,-2.06,42.92,42.79,471326120.0,741174440.0,43.09,-78966880.0,-366369180.0,6,15,28.57
2020-03-31,43.04,42.44,43.19,42.24,15.93,0.0,34812410,1537187914.0,-0.82,42.72,43.14,17009420.0,29782700.0,42.44,-100420420.0,-319926800.0,3,13,18.75
2020-04-01,39.29,38.24,39.99,38.09,14.41,0.01,212365103,8593189297.0,-9.9,39.04,38.24,367890920.0,1736640720.0,38.34,-683428160.0,-2662199420.0,18,19,48.65
2020-04-02,37.09,37.19,37.49,36.09,14.03,0.01,120204721,4628324489.0,-2.75,36.79,36.54,232384660.0,497711440.0,37.19,-264025340.0,-1592605040.0,7,20,25.93
2020-04-03,36.29,36.19,36.59,35.89,13.67,0.0,90173250,3424191922.0,-2.69,36.24,36.44,166580400.0,222253840.0,36.34,-303714520.0,-1335398180.0,4,8,33.33
2020-04-06,36.79,37.24,37.49,36.34,14.05,0.0,61129889,2365300713.0,2.9,36.92,37.24,82072200.0,330089420.0,37.29,-105692260.0,-393879080.0,11,12,47.83
2020-04-07,38.09,38.44,38.59,37.49,14.48,0.0,74051605,2944196209.0,3.22,38.04,38.44,169540140.0,611971920.0,37.99,-149106280.0,-535838160.0,12,10,54.55
2020-04-08,38.44,38.19,39.29,38.19,14.39,0.0,48475468,1951225465.0,-0.65,38.74,39.09,58319360.0,223483840.0,38.74,-87538540.0,-477173600.0,6,13,31.58
2020-04-09,38.74,39.29,39.34,38.49,14.79,0.0,40473133,1649566976.0,2.88,38.92,39.29,177004080.0,536393240.0,38.94,-38027440.0,-103628620.0,10,4,71.43
2020-04-14,39.29,39.74,40.19,39.14,14.95,0.0,36916865,1535769135.0,1.15,39.67,39.69,34544580.0,101826220.0,39.79,-53156520.0,-222334560.0,6,10,37.5
2020-04-15,39.59,38.89,40.04,38.89,14.65,0.0,29855944,1229130347.0,-2.14,39.47,39.84,68566220.0,240563200.0,38.89,-87243500.0,-251705000.0,13,9,59.09
2020-04-16,38.04,37.99,38.24,37.64,14.32,0.0,37385637,1482025087.0,-2.31,37.94,37.99,49062000.0,135364380.0,37.89,-85662580.0,-271934880.0,4,9,30.77
2020-04-17,38.09,37.79,38.59,37.74,14.25,0.0,52045136,2073616998.0,-0.53,38.17,38.34,70834280.0,224158120.0,38.24,-102690720.0,-466865120.0,6,12,33.33
2020-04-20,38.49,38.34,38.89,38.09,14.45,0.0,30234010,1214015078.0,1.46,38.49,38.49,52092100.0,167620120.0,38.29,-25301220.0,-88437160.0,8,8,50.0
2020-04-21,38.09,37.44,38.24,37.34,14.12,0.0,26649501,1046560525.0,-2.35,37.79,37.54,41401300.0,72696300.0,37.59,-99778000.0,-324134980.0,4,9,30.77
2020-04-22,36.74,37.14,37.24,36.64,14.02,0.0,30535516,1180964923.0,-0.8,36.94,37.24,7751840.0,7751840.0,36.89,-82160680.0,-418451440.0,1,12,7.69
2020-04-23,37.09,36.99,37.29,36.74,13.96,0.0,16392712,634463293.0,-0.4,37.02,36.99,43039460.0,57118960.0,37.09,-41830900.0,-159760020.0,3,8,27.27
2020-04-24,36.79,37.04,37.44,36.79,13.98,0.0,15509158,601900687.0,0.14,37.12,37.44,265620.0,265620.0,37.14,-35723700.0,-171446640.0,1,12,7.69
2020-04-27,37.24,37.79,37.94,37.09,14.25,0.0,29008804,1143496395.0,2.02,37.52,37.79,179894080.0,312521180.0,37.84,-96797160.0,-147963440.0,9,5,64.29
2020-04-28,38.39,38.24,38.69,37.34,14.41,0.0,54166077,2152382270.0,1.19,38.02,38.39,85479820.0,574826160.0,37.39,-163203380.0,-278796140.0,18,9,66.67
2020-04-29,38.89,38.54,39.04,38.44,14.52,0.0,34078050,1374965893.0,0.78,38.74,38.54,45963580.0,96156460.0,38.49,-21976560.0,-62500920.0,4,7,36.36
2020-05-04,37.29,36.89,37.29,36.89,13.92,0.0,53885337,2087784890.0,-4.28,37.09,37.24,4786980.0,4786980.0,36.94,-250509360.0,-994044640.0,1,8,11.11
2020-05-05,36.89,37.29,37.49,36.59,14.07,0.0,24186602,938709917.0,1.08,37.04,36.84,38095160.0,152512100.0,36.64,-69989460.0,-290272600.0,8,10,44.44
2020-05-06,36.79,37.29,37.44,36.79,14.07,0.0,32638886,1271621330.0,0.0,37.12,37.29,82484020.0,199173860.0,37.34,-19772040.0,-64864560.0,7,5,58.33
2020-05-07,36.99,37.14,37.29,36.84,14.02,0.0,23315862,905062514.0,-0.4,37.07,37.29,11641840.0,24054660.0,37.14,-111245960.0,-197536060.0,4,6,40.0
2020-05-08,37.59,37.84,38.04,37.44,14.27,0.0,19639628,776346585.0,1.88,37.74,37.84,78045180.0,110548960.0,37.79,-25330660.0,-60234620.0,6,3,66.67
2020-05-11,38.14,38.34,38.74,38.09,14.45,0.0,38970672,1565791510.0,1.32,38.42,38.39,114276460.0,416486760.0,38.24,-1642700.0,-1642700.0,12,1,92.31
2020-05-12,37.49,37.59,37.79,37.14,14.18,0.0,30960477,1210394605.0,-1.96,37.47,37.59,68852280.0,123064060.0,37.34,-100254200.0,-391921240.0,4,9,30.77
2020-05-13,37.29,37.19,37.74,36.99,14.03,0.0,30665368,1198578156.0,-1.06,37.37,37.19,44415380.0,49390440.0,37.34,-70611520.0,-351040200.0,2,12,14.29
2020-05-14,36.79,36.49,36.84,36.34,13.78,0.0,42920349,1644405008.0,-1.88,36.59,36.79,-30501220.0,0.0,36.64,-144958560.0,-818198880.0,0,9,0.0
2020-05-15,36.54,36.39,36.59,36.29,13.74,0.0,23336593,889500928.0,-0.27,36.44,36.54,17658720.0,17658720.0,36.39,-194035660.0,-428435880.0,1,5,16.67
2020-05-18,36.29,36.49,36.49,36.09,13.78,0.0,25621993,974032850.0,0.27,36.29,36.49,50102960.0,131688500.0,36.29,-145126820.0,-204973700.0,5,3,62.5
2020-05-19,37.64,37.74,37.94,37.39,14.23,0.0,43427634,1712215975.0,3.43,37.67,37.74,126497520.0,424129860.0,37.54,-40727820.0,-40727820.0,8,1,88.89
2020-05-20,37.39,36.74,37.49,36.69,13.87,0.0,28961827,1121324715.0,-2.65,37.09,37.14,43214200.0,110419960.0,37.04,-80413000.0,-253220940.0,4,11,26.67
2020-05-21,37.29,36.79,37.29,36.79,13.89,0.0,16663308,645387710.0,0.14,37.04,37.04,14634340.0,38905040.0,36.79,-45766840.0,-168819080.0,4,7,36.36
2020-05-22,35.89,34.14,35.99,33.74,12.93,0.01,122796430,4492067262.0,-7.2,34.87,35.24,110702240.0,191000540.0,34.14,-234724620.0,-2822582800.0,5,37,11.9
2020-05-25,33.84,33.99,34.09,33.29,12.88,0.0,48071226,1702673495.0,-0.44,33.69,33.49,34770800.0,104212980.0,33.69,-82190780.0,-367512140.0,4,12,25.0
2020-05-26,34.29,35.19,35.39,34.09,13.31,0.0,33450161,1225961650.0,3.53,34.74,35.24,78595960.0,287219660.0,34.74,-18141760.0,-110850440.0,11,10,52.38
2020-05-27,35.59,35.64,35.79,34.59,13.47,0.0,42822281,1588012519.0,1.28,35.19,35.44,92764060.0,466715980.0,35.64,-148482980.0,-221973080.0,12,5,70.59
2020-05-28,35.79,35.29,36.49,34.59,13.35,0.0,56105691,2085795450.0,-0.98,35.54,36.44,61769380.0,404522820.0,35.29,-127796280.0,-367527380.0,17,16,51.52
2020-05-29,34.59,34.14,34.74,34.14,12.93,0.0,41062941,1482787192.0,-3.26,34.44,34.59,35427680.0,72844300.0,34.29,-92466940.0,-474011220.0,4,8,33.33
2020-06-01,34.44,34.89,35.24,34.44,13.2,0.0,50234471,1833229772.0,2.2,34.84,34.44,41832780.0,151165660.0,34.74,-23524220.0,-98955760.0,5,7,41.67
2020-06-02,34.89,35.49,35.49,34.79,13.42,0.0,35840240,1324019693.0,1.72,35.14,35.29,82244020.0,304160540.0,35.24,-16560000.0,-42162720.0,9,3,75.0
2020-06-03,35.84,36.44,36.49,35.79,13.76,0.0,53534767,2027058571.0,2.68,36.14,36.44,148847940.0,767945520.0,36.09,-52498760.0,-52498760.0,12,1,92.31
2020-06-04,37.19,37.14,37.49,36.79,14.02,0.0,55254193,2143374767.0,1.92,37.14,37.39,103578480.0,369443340.0,37.14,-129825560.0,-372226400.0,11,3,78.57
2020-06-05,37.49,38.79,38.89,37.24,14.61,0.01,153403300,6147599626.0,4.44,38.07,37.69,170159060.0,1338211760.0,38.79,-2551207460.0,-2728216900.0,21,9,70.0
2020-06-08,39.39,39.29,39.69,38.74,14.79,0.0,102483973,4172606607.0,1.29,39.22,39.09,202395460.0,820536700.0,38.79,-46478740.0,-66046100.0,12,2,85.71
2020-06-09,39.49,38.64,39.49,38.44,14.56,0.0,50714655,2067074414.0,-1.65,38.97,39.29,144648340.0,454733940.0,38.59,-101073140.0,-268714420.0,9,12,42.86
2020-06-10,38.29,38.04,38.69,37.84,14.34,0.0,37035656,1477781338.0,-1.55,38.27,38.24,73946980.0,255791920.0,37.94,-64976940.0,-212285240.0,11,7,61.11
2020-06-11,37.39,36.14,37.69,36.14,13.65,0.0,49782928,1917097268.0,-4.99,36.92,37.34,53728100.0,213127300.0,36.14,-130530780.0,-506103100.0,13,17,43.33
2020-06-12,34.79,35.59,35.64,34.69,13.46,0.0,57848137,2137568920.0,-1.52,35.17,34.84,34255500.0,119798220.0,35.04,-118568480.0,-593608520.0,5,11,31.25
2020-06-15,34.89,34.79,35.49,34.59,13.17,0.0,46541938,1706101079.0,-2.25,35.04,35.34,26283940.0,54963280.0,34.79,-224914080.0,-867796020.0,5,13,27.78
2020-06-16,35.49,35.69,36.09,35.44,13.49,0.0,27383495,1027091242.0,2.59,35.77,35.74,33672880.0,130379020.0,35.64,-50739940.0,-148129480.0,7,5,58.33
2020-06-17,35.19,35.99,36.19,35.19,13.6,0.0,23795290,892667822.0,0.84,35.69,35.99,138597080.0,285140220.0,35.29,-20630360.0,-94368060.0,11,10,52.38
2020-06-18,35.29,35.39,35.39,34.89,13.38,0.0,32953207,1215356778.0,-1.67,35.14,35.39,62196640.0,136530240.0,35.24,-150064360.0,-549593560.0,3,7,30.0
2020-06-19,34.99,35.64,35.94,34.94,13.47,0.0,28062059,1040660289.0,0.71,35.44,35.64,95475380.0,292325680.0,35.54,-35563100.0,-67183420.0,13,6,68.42
2020-06-22,35.54,34.99,35.54,34.74,13.24,0.0,34982503,1286593939.0,-1.82,35.14,35.14,12359880.0,23976960.0,34.84,-135205900.0,-480782420.0,3,13,18.75
2020-06-23,34.89,35.74,35.74,34.39,13.51,0.0,30842507,1136699307.0,2.14,35.07,35.54,55260820.0,219789820.0,35.74,-86440320.0,-317269980.0,11,14,44.0
2020-06-24,35.94,35.29,36.19,35.29,13.35,0.0,19690551,733229282.0,-1.26,35.74,35.94,8373360.0,11962420.0,35.39,-62994700.0,-239119000.0,3,10,23.08
2020-06-26,35.34,34.99,35.59,34.99,13.24,0.0,17355031,641250832.0,-0.85,35.29,35.24,24866020.0,69263340.0,35.29,-49602980.0,-172441360.0,6,6,50.0
2020-06-29,35.14,34.34,35.14,34.19,13.0,0.0,36050517,1302515645.0,-1.86,34.67,34.59,17022400.0,32250820.0,34.39,-76826420.0,-309090500.0,3,12,20.0
2020-06-30,34.99,34.49,35.29,34.29,13.06,0.0,34167872,1245046104.0,0.44,34.79,35.19,60509940.0,194221900.0,34.49,-55271280.0,-283997180.0,8,12,40.0
2020-07-02,35.29,35.59,35.59,34.64,13.46,0.0,41239681,1519049923.0,3.19,35.12,35.34,67909080.0,332549360.0,35.04,-50884060.0,-200870300.0,9,10,47.37
2020-07-03,36.29,35.74,36.29,35.64,13.51,0.0,32270516,1214156897.0,0.42,35.97,35.84,53046340.0,282097460.0,36.19,-51859240.0,-66649920.0,10,4,71.43
2020-07-06,35.64,37.59,37.74,35.54,14.18,0.0,92943659,3598186620.0,5.18,36.64,36.44,109113800.0,920849160.0,37.59,-75404800.0,-342709060.0,28,14,66.67
2020-07-07,37.69,36.94,38.29,36.74,13.94,0.0,50906633,1988657640.0,-1.73,37.52,36.84,78733920.0,762710260.0,36.94,-37999560.0,-128843920.0,21,6,77.78
2020-07-08,36.79,35.29,36.84,35.29,13.35,0.0,57615592,2158020379.0,-4.47,36.07,35.94,38165360.0,121293840.0,35.44,-212847840.0,-789267500.0,6,19,24.0
2020-07-09,35.69,35.39,35.74,34.89,13.38,0.0,42788459,1582227829.0,0.28,35.32,35.24,85596080.0,202087260.0,34.99,-68046980.0,-236916020.0,6,11,35.29
2020-07-10,34.84,34.69,35.19,34.54,13.13,0.0,40678840,1483971164.0,-1.98,34.87,35.04,8758560.0,14369600.0,34.69,-225884180.0,-607505120.0,3,9,25.0
2020-07-13,35.24,35.54,36.09,35.14,13.44,0.0,41961306,1573802332.0,2.45,35.62,35.89,64608900.0,358097980.0,35.94,-33623060.0,-64112280.0,11,4,73.33
2020-07-14,35.29,35.14,35.29,34.74,13.29,0.0,29340450,1076375052.0,-1.13,35.02,35.14,30702760.0,30886120.0,34.89,-130151320.0,-348422300.0,2,9,18.18
2020-07-15,35.99,35.49,35.99,35.14,13.42,0.0,30334333,1128648579.0,1.0,35.57,35.99,37066640.0,98562700.0,35.24,-70734700.0,-226676040.0,6,9,40.0
2020-07-16,35.79,35.49,36.09,35.44,13.42,0.0,34854672,1304943738.0,0.0,35.77,36.04,58865900.0,241853900.0,35.54,-56965260.0,-134538940.0,8,5,61.54
2020-07-17,35.79,35.24,35.99,35.24,13.33,0.0,27243627,1014930312.0,-0.7,35.62,35.54,49038160.0,141066440.0,35.44,-77499100.0,-340229420.0,7,9,43.75
2020-07-20,34.79,34.89,35.14,34.59,13.2,0.0,19725597,722597661.0,-0.99,34.87,35.04,9669160.0,16203900.0,34.89,-103680280.0,-352259300.0,2,9,18.18
2020-07-21,35.09,35.79,35.84,34.99,13.53,0.0,26347668,978908489.0,2.58,35.42,35.79,94512940.0,265763460.0,35.09,-25238500.0,-84344600.0,10,6,62.5
2020-07-22,35.79,34.89,35.89,34.89,13.2,0.0,17722745,658176713.0,-2.51,35.39,35.64,22174440.0,54253620.0,34.89,-58989220.0,-157523100.0,6,11,35.29
2020-07-23,34.99,34.84,35.14,34.69,13.18,0.0,25017609,913720777.0,-0.14,34.92,34.99,15282260.0,15282260.0,34.74,-99403920.0,-251010340.0,1,8,11.11
2020-07-24,34.59,34.29,34.69,34.29,12.99,0.0,33100326,1194874817.0,-1.58,34.49,34.34,26365980.0,71662880.0,34.29,-84567920.0,-210560720.0,5,3,62.5
