,Total,F,S
HK.00005,163,79,84
HK.00011,191,70,118
HK.00016,163,73,89
HK.00020,9,2,7
HK.00027,141,66,75
HK.00168,136,54,81
HK.00175,47,15,32
HK.00241,94,41,52
HK.00268,100,38,62
HK.00285,121,45,74
HK.00288,141,59,80
HK.00291,109,53,56
HK.00341,57,17,38
HK.00345,121,58,61
HK.00347,62,17,45
HK.00358,84,30,54
HK.00388,143,53,88
HK.00390,59,23,36
HK.00669,214,98,116
HK.00688,109,58,50
HK.00700,92,32,59
HK.00772,194,80,111
HK.00780,145,67,76
HK.00788,117,65,34
HK.00799,99,24,74
HK.00868,96,27,67
HK.00883,80,31,47
HK.00914,122,57,63
HK.00916,137,52,83
HK.00941,97,46,50
HK.00968,137,49,87
HK.00981,29,9,19
HK.00992,129,44,83
HK.01024,93,41,52
HK.01038,145,56,86
HK.01088,63,23,40
HK.01093,102,48,52
HK.01109,121,58,62
HK.01919,104,33,71
HK.01193,171,75,94
HK.01211,188,57,129
HK.01263,98,19,74
HK.01299,214,85,128
HK.01337,47,13,34
HK.01398,139,73,54
HK.01458,113,36,77
HK.01478,88,20,67
HK.01548,109,33,76
HK.01810,28,11,17
HK.01833,153,55,98
HK.01876,110,62,47
HK.01913,185,79,103
HK.01928,110,51,56
HK.01929,153,64,89
HK.02007,142,60,80
HK.02013,103,25,76
HK.02018,119,47,71
HK.02020,148,69,79
HK.02057,91,43,48
HK.02318,141,65,75
HK.02319,127,47,77
HK.02331,171,74,96
HK.02382,138,57,78
HK.02388,105,38,65
HK.02600,69,20,49
HK.02688,213,99,113
HK.02888,116,45,68
HK.02899,89,27,61
HK.03323,64,14,50
HK.03690,110,41,69
HK.03888,115,45,68
HK.03968,155,69,84
HK.03993,87,28,56
HK.06060,122,40,81
HK.06098,133,68,64
HK.06160,113,40,73
HK.06169,100,39,60
HK.06618,97,39,58
HK.06690,70,29,38
HK.06865,127,41,86
HK.06969,68,15,52
HK.06993,30,8,21
HK.09618,101,44,57
HK.09626,62,30,32
HK.09888,76,33,41
HK.09987,88,35,51
HK.09988,67,39,27
HK.09999,137,60,77
