code,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,turnover_rate,suspension,listing_date,lot_size,price_spread,stock_owner,ask_price,bid_price,ask_vol,bid_vol,enable_margin,mortgage_ratio,long_margin_initial_ratio,enable_short_sell,short_sell_rate,short_available_volume,short_margin_initial_ratio,amplitude,avg_price,bid_ask_ratio,volume_ratio,highest52weeks_price,lowest52weeks_price,highest_history_price,lowest_history_price,close_price_5min,after_volume,after_turnover,sec_status,equity_valid,issued_shares,total_market_val,net_asset,net_profit,earning_per_share,outstanding_shares,circular_market_val,net_asset_per_share,ey_ratio,pe_ratio,pb_ratio,pe_ttm_ratio,dividend_ttm,dividend_ratio_ttm,dividend_lfy,dividend_lfy_ratio,wrt_valid,wrt_conversion_ratio,wrt_type,wrt_strike_price,wrt_maturity_date,wrt_end_trade,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,wrt_leverage,wrt_ipop,wrt_break_even_point,wrt_conversion_price,wrt_price_recovery_ratio,wrt_score,wrt_upper_strike_price,wrt_lower_strike_price,wrt_inline_price_status,wrt_issuer_code,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_premium,option_delta,option_gamma,option_vega,option_theta,option_rho,option_net_open_interest,option_expiry_date_distance,option_contract_nominal_value,option_owner_lot_multiplier,option_area_type,option_contract_multiplier,index_valid,index_raise_count,index_fall_count,index_equal_count,plate_valid,plate_raise_count,plate_fall_count,plate_equal_count,future_valid,future_last_settle_price,future_position,future_position_change,future_main_contract,future_last_trade_time,trust_valid,trust_dividend_yield,trust_aum,trust_outstanding_units,trust_netAssetValue,trust_premium,trust_assetClass,pre_price,pre_high_price,pre_low_price,pre_volume,pre_turnover,pre_change_val,pre_change_rate,pre_amplitude,after_price,after_high_price,after_low_price,after_change_val,after_change_rate,after_amplitude
HK.00027,2021-04-01 16:08:32,71.3,71.8,71.8,70.6,70.0,7865444,560799352.0,0.181,False,1991-10-07,1000,0.05,,N/A,N/A,N/A,N/A,False,,,False,,,,1.714,71.299,37.887,0.827,80.3,47.15,80.3,-4.68,71.4,0,0.0,NORMAL,True,4350106651,310162604216.3,67422302983.849,-3971647372.363,-0.913,4350106651,310162604216.3,15.499,-0.058,-78.094,4.6,-78.094,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00175,2021-04-01 16:08:29,20.55,20.1,20.7,19.96,19.78,63191949,1288293630.0,0.644,False,1973-02-23,1000,0.05,,N/A,N/A,N/A,N/A,False,,,False,,,,3.741,20.386,-14.708,0.958,36.45,10.4,71.904,-1.172,20.5,0,0.0,NORMAL,True,9818701540,201774316647.0,75977112516.52,6607986136.42,0.673,9818701540,201774316647.0,7.738,0.086,30.534,2.655,30.534,0.235,1.14,0.235,1.143,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00241,2021-04-01 16:08:32,23.15,22.2,23.2,22.1,22.0,22579381,515131935.0,0.167,False,1972-07-06,2000,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.0519,752000.0,60.0,5.0,22.814,7.448,0.726,30.15,15.12,30.15,0.068,23.1,0,0.0,NORMAL,True,13487076042,312225810372.3,17061151193.13,-13487076.042,-0.001,13487076042,312225810372.3,1.265,0.018,-23150.0,18.3,964.583,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00268,2021-04-01 16:08:30,25.05,24.75,25.15,24.0,24.1,14929884,370293932.0,0.43,False,2005-07-20,1000,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.0586,239000.0,60.0,4.772,24.802,-14.151,0.623,39.5,10.228,39.5,0.0516448,24.95,0,0.0,NORMAL,True,3468762571,86892502403.55,9278939877.425,-398907695.665,-0.115,3468762571,86892502403.55,2.675,-0.042,-217.826,9.364,-217.826,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00285,2021-04-01 16:08:32,50.9,46.4,51.25,45.9,45.4,24448398,1212907560.0,1.085,False,2007-12-20,500,0.05,,N/A,N/A,N/A,N/A,False,,,False,,,,11.784,49.61,-59.098,1.736,63.1,13.44223,63.1,0.61979,50.7,0,0.0,NORMAL,True,2253204500,114688109050.0,26452620830.0,6462190506.0,2.868,2253204500,114688109050.0,11.74,0.244,17.747,4.335,17.747,0.078,0.15,0.078,0.153,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00288,2021-04-01 16:08:31,6.7,6.4,6.73,6.34,6.3,89114605,585041713.0,0.604,False,2014-08-05,500,0.01,,N/A,N/A,N/A,N/A,False,,,False,,,,6.19,6.565,17.231,1.246,7.615,5.9,9.435,2.52,6.7,0,0.0,NORMAL,True,14745520786,98794989266.2,77782622146.15,6443792583.482,0.437,14745520786,98794989266.2,5.275,0.082,15.331,1.27,15.331,0.315,4.7,0.315,4.701,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00291,2021-04-01 16:08:30,61.8,61.0,62.6,60.9,60.95,4037822,249051607.0,0.124,False,1970-01-01,2000,0.05,,N/A,N/A,N/A,N/A,False,,,False,,,,2.789,61.679,-7.851,0.736,78.6,34.108,78.6,-11.4485,61.8,0,0.0,NORMAL,True,3244176905,200490132729.0,25278626443.76,2494772039.945,0.769,3244176905,200490132729.0,7.792,0.098,80.364,7.931,80.364,0.192,0.31,0.183,0.296,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00341,2021-04-01 16:08:30,16.92,16.92,16.92,16.82,16.84,274000,4617848.0,0.047,False,1986-07-16,2000,0.02,,N/A,N/A,N/A,N/A,False,,,True,1.1856,28000.0,60.0,0.594,16.853,10.169,0.449,18.3,13.42,25.96,-11.1735,16.86,0,0.0,NORMAL,True,585704033,9910112238.36,2828950479.39,73798708.158,0.126,585704033,9910112238.36,4.83,0.03,134.285,3.503,115.102,0.1,0.59,0.19,1.122,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00345,2021-04-01 16:08:32,29.8,29.9,30.1,29.5,29.9,1525708,45421243.0,0.143,False,1994-03-30,2000,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.1281,24000.0,60.0,2.007,29.77,22.084,0.985,36.6,25.712,46.51,-4.640666,29.75,0,0.0,NORMAL,True,1067187500,31802187500.0,3644445312.5,535728125.0,0.502,1067187500,31802187500.0,3.415,0.185,59.362,8.726,47.151,0.321,1.08,0.321,1.077,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00347,2021-04-01 16:08:30,3.99,3.95,4.05,3.86,3.88,21906800,86881487.0,1.552,False,1997-07-24,2000,0.01,,N/A,N/A,N/A,N/A,False,,,False,,,,4.897,3.965,-47.83,1.557,4.47,1.708,28.784989,-0.0654615,3.99,0,0.0,NORMAL,True,9405250201,37526948301.99,63137444599.313,2341907300.049,0.249,1411540000,5632044600.0,6.713,0.037,16.024,0.594,16.024,0.062,1.55,0.062,1.553,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
