Ticket,Futu symbol,Name,Remark,Label0,Label1,Label2,Label3
0005.HK,HK.00005,匯豐控股,,銀行,金融,,
0011.HK,HK.00011,恆生銀行,,銀行,金融,,
0016.HK,HK.00016,新鴻基地產,,地產,,,
0020.HK,HK.00020,商湯,,互聯網,人工智能,,
0027.HK,HK.00027,銀河娛樂,,博彩,,,
0168.HK,HK.00168,青島啤酒,,內需,酒,軟性飲料,加工食品
0175.HK,HK.00175,吉利汽車,,汽車,,,
0241.HK,HK.00241,阿里健康,,互聯網,醫療,,
0268.HK,HK.00268,金蝶國際,,互聯網,軟件開發,雲,
0285.HK,HK.00285,比亞迪電子,,電子設備,,,
0288.HK,HK.00288,萬洲國際,,加工食品,,,
0341.HK,HK.00341,大家樂,,餐飲,,,
0345.HK,HK.00345,維他奶,,加工食品,,,
0347.HK,HK.00347,鞍鋼,,金屬,,,
0358.HK,HK.00358,江西銅,,金屬,,,
0388.HK,HK.00388,香港交易所,,金融,,,
0390.HK,HK.00390,中國中鐵,,工業,金屬,,
0669.HK,HK.00669,創科實業,,工業,,,
0688.HK,HK.00688,中國海外發展,,地產,,,
0700.HK,HK.00700,騰訊,,互聯網,手遊,,
0772.HK,HK.00772,閱文,,互聯網,,,
0780.HK,HK.00780,同程藝龍,,互聯網,旅遊,,
0799.HK,HK.00799,IGG,,手遊,,,
0868.HK,HK.00868,信義玻璃,,玻璃,汽車部件,工業,
0883.HK,HK.00883,中國海洋石油,,石油,,,
0914.HK,HK.00914,海螺水泥,,建材,,,
0916.HK,HK.00916,龍源電力,,新能源,,,
0941.HK,HK.00941,中國移動,,通訊,,,
0968.HK,HK.00968,信義光能,,電子設備,新能源,光伏,
0981.HK,HK.00981,中芯國際,,電子設備,,,
0992.HK,HK.00992,聯想,,電子設備,,,
1024.HK,HK.01024,快手,,互聯網,社交平台,,
1038.HK,HK.01038,長江基建集團,,基建,,,
1088.HK,HK.01088,中國神華,,煤炭,能源,,
1093.HK,HK.01093,石藥集團,,藥品,生物科技,,
1193.HK,HK.01193,華潤燃氣,,能源,,,
1211.HK,HK.01211,比亞迪股份,,汽車,新能源車,,
1299.HK,HK.01299,友邦保險,,金融,保險,,
1458.HK,HK.01458,周黑鴨,,加工食品,,,
1478.HK,HK.01478,丘鈦科技,,電子設備,,,
1548.HK,HK.01548,金斯瑞生物科,,生物科技,,,
1798.HK,HK.01798,大唐新能源,,新能源,,,
1810.HK,HK.01810,小米集團,,電子設備,,,
1833.HK,HK.01833,平安好醫生,,互聯網,,,
1876.HK,HK.01876,百威亞太,,加工食品,酒,,
1913.HK,HK.01913,普拉達,,奢侈品,,,
1919.HK,HK.01919,中遠海控,,航運,,,
1929.HK,HK.01929,周大福,,奢侈品,,,
2007.HK,HK.02007,碧桂園,,內房,,,
2013.HK,HK.02013,微盟集團,,雲,互聯網,,
2018.HK,HK.02018,瑞聲科技,,電子設備,,,
2020.HK,HK.02020,安踏體育,,體育用品,,,
2057.HK,HK.02057,中通快遞,,物流,,,
2318.HK,HK.02318,中國平安,,金融,保險,,
2319.HK,HK.02319,蒙牛乳業,,加工食品,,,
2331.HK,HK.02331,李寧,,體育用品,,,
2382.HK,HK.02382,舜宇光學,,電子設備,,,
2388.HK,HK.02388,中銀香港,,銀行,金融,,
2600.HK,HK.02600,中國鋁業,,金屬,,,
2618.HK,HK.02618,京東物流,,物流,,,
2688.HK,HK.02688,新奧能源,,能源,石油,,
2689.HK,HK.02689,玖龍紙業,,造紙,,,
2899.HK,HK.02899,紫金礦業,,金屬,,,
3323.HK,HK.03323,中國建材,,建材,,,
3690.HK,HK.03690,美團,,互聯網,,,
3888.HK,HK.03888,金山軟件,,互聯網,軟件開發,雲,手遊
3993.HK,HK.03993,洛陽鉬業,,金屬,,,
6060.HK,HK.06060,眾安在線,,互聯網,,,
6098.HK,HK.06098,碧桂園服務,,物業管理,,,
6160.HK,HK.06160,百濟神州,,藥品,生物科技,醫療,
6618.HK,HK.06618,京東健康,,互聯網,醫療,,
6690.HK,HK.06690,海爾智家,,家居用品,,,
6865.HK,HK.06865,福萊特玻璃,,光伏,,,
6969.HK,HK.06969,思摩爾,,煙草,,,
6993.HK,HK.06993,藍月亮,,家居用品,,,
9618.HK,HK.09618,京東集團,,互聯網,,,
9626.HK,HK.09626,嗶哩嗶哩,,視頻,,,
9888.HK,HK.09888,百度集團,,互聯網,,,
9922.HK,HK.09922,九毛九,,餐飲,,,
9987.HK,HK.09987,百勝中國,,餐飲,,,
9988.HK,HK.09988,阿里巴巴,,互聯網,雲,,
9999.HK,HK.09999,網易,,互聯網,手遊,教育,
