Ticket,Futu symbol,名稱,Label1,Label2,Label3
AAL,US.AAL,American Airlines,旅遊,,
AAPL,US.AAPL,蘋果,手機,電腦設備,
ABBV,US.ABBV,AbbVie Inc,藥品,,
AES,US.AES,愛依斯全球電力,新能源,,
AMD,US.AMD,超微半導體,半導體,,
AMZN,US.AMZN,亞馬遜,電子商務,互聯網,
BLDP,US.BLDP,Ballard,新能源,,
BSX,US.BSX,波士頓科學,醫療器械,,
BYND,US.BYND,Beyond Meat,食品,,
C,US.C,花旗集團,金融,,
CCL,US.CCL,嘉年華郵輪,旅遊,,
CS,US.CS,Credit Suisse ADR,金融,,
CSCO,US.CSCO,思科系統,軟件,,
DAL,US.DAL,達美航空,旅遊,,
DDD,US.DDD,3D Systems Corp,3D打印,,
DIS,US.DIS,沃爾特迪士尼,影視,,
EBAY,US.EBAY,eBay,電子商務,,
EDU,US.EDU,新東方,教育,,
EQT,US.EQT,EQT 公司,天然氣,,
F,US.F,福特汽車,汽車,,
META,US.META,Facebook,社交平台,,
FCEL,US.FCEL,FuelCell Energy,電池,,
FCX,US.FCX,自由港麥克莫蘭銅金,有色金屬,,
FUBO,US.FUBO,Fubotv,影視,體育,
FUTU,US.FUTU,Futu,金融,,
GOLD,US.GOLD,Barrick Gold Corp,貴金屬,,
GSAT,US.GSAT,Globalstar Inc,衛星通訊,,
HIMX,US.HIMX,奇景光電股份有限公司,軟件,,
HPQ,US.HPQ,HP Inc,半導體,,
HST,US.HST,Host Hotels Resorts,房地產信託,,
INTC,US.INTC,英特爾,半導體,,
IQ,US.IQ,愛奇藝,電子商務,,
JNJ,US.JNJ,強生,醫療保健,,
KO,US.KO,可口可樂,飲料,,
KR,US.KR,克羅格公司,零售,,
LOW,US.LOW,勞氏公司,建材,,
LU,US.LU,陸金所,金融,電子商務,
LUMN,US.LUMN,Lumen Technologies,通訊,雲,
MAC,US.MAC,Macerich Co,房地產信託,,
MCD,US.MCD,麥當勞,食品,,
MGM,US.MGM,MGM Resorts International,博彩,酒店,
MRK,US.MRK,默克公司,藥品,,
MS,US.MS,摩根士丹利,金融,,
MSFT,US.MSFT,微軟,軟件,,
NEM,US.NEM,Newmont Goldcorp,貴金屬,,
NIO,US.NIO,蔚來汽車,電動車,,
NKE,US.NKE,Nike Inc.,運動用品,,
NOVA,US.NOVA,Sunnova Energy,新能源,太陽能,
NVDA,US.NVDA,英偉達,半導體,,
OPEN,US.OPEN,Opendoor Tech,房地產,電子商務,
ORCL,US.ORCL,甲骨文公司,軟件,,
PFE,US.PFE,輝瑞公司,藥品,,
PINS,US.PINS,Pinterest,社交平台,,
PLTR,US.PLTR,Palantir,軟件,,
PLUG,US.PLUG,Plug Power,電池,,
QCOM,US.QCOM,高通,通信,,
QS,US.QS,Quantumscape,電池,,
RBLX,US.RBLX,Roblox,遊戲,,
SNAP,US.SNAP,Snap,社交平台,,
SPCE,US.SPCE,維珍銀河,太空旅行,,
TLRY,US.TLRY,Tilray,大麻,,
TME,US.TME,騰訊音樂,電子商務,,
TSLA,US.TSLA,特斯拉,電動車,,
TSM,US.TSM,台積電,半導體代工,,
UBER,US.UBER,Uber Tech,電子商務,,
V,US.V,Visa A,金融,,
VALE,US.VALE,Vale ADR,有色金屬,,
VICI,US.VICI,VICI Properties,房地產信託,,
VIPS,US.VIPS,唯品會,電子商務,,
VST,US.VST,Vistra Energy,新能源,,
WFC,US.WFC,富國銀行,金融,,
WMT,US.WMT,沃爾瑪百貨,零售,,
X,US.X,美國鋼鐵公司,金屬,,
XOM,US.XOM,埃克森美孚,石油,,
XPEV,US.XPEV,小鵬汽車,電動車,,
